split,window,pair,vol_tracking_error,drawdown,tail_loss,turnover,cost_adjusted_sharpe,exposure_convexity
0,train,dynamic_precision_ensemble__drawdown_brake,0.0018293371217041748,0.1656658733408598,0.014914484792527992,0.027438821324799096,-0.23341854941051673,
0,train,dynamic_precision_ensemble__drawdown_modulated_controller,0.0037610993368388523,0.1638064187271343,0.015482335807478452,0.026869590940827633,-0.16220303381740672,
0,train,dynamic_precision_ensemble__hysteresis_controller,0.005475929524800083,0.16204901717079845,0.015617693349303408,0.02614808864892439,-0.13647330522024315,
0,train,dynamic_precision_ensemble__naive_scaling,0.005475929524800083,0.16204901717079845,0.015617693349303408,0.02614808864892439,-0.13647330522024315,
0,train,dynamic_precision_ensemble__priority_stack_controller,0.00012935015614840006,0.15985756397338735,0.014858069648565663,0.02606116492337152,-0.1574855938911393,
0,train,dynamic_precision_ensemble__regime_switch_controller,0.006295426982136074,0.16167928199406256,0.014395888232324952,0.0538426963194395,-0.24280663325403035,
0,train,dynamic_precision_ensemble__trend_filter,0.010261028432335534,0.13833132308278162,0.013271657858067065,0.021368361887616108,-0.11596538056151352,
0,train,dynamic_precision_ensemble__variance_scaling,0.0028861023356019644,0.1596733213678021,0.015705804047236607,0.05515650014460871,-0.11948010306169696,
0,train,dynamic_precision_ensemble__vol_target_clip,0.005475929524800083,0.16204901717079845,0.015617693349303408,0.02614808864892439,-0.13647330522024315,
0,train,garch__drawdown_brake,0.0008004650179805894,0.1749249809234329,0.015288988689115704,0.033594106818859895,-0.2780580690681513,
0,train,garch__drawdown_modulated_controller,0.004027362785372995,0.17751068922467028,0.01574657150607682,0.03355444403988374,-0.2561783681197319,
0,train,garch__hysteresis_controller,0.008346319332005803,0.18241202745203144,0.01617246120469993,0.03367668119732935,-0.22078339777432013,
0,train,garch__naive_scaling,0.008346319332005803,0.18241202745203144,0.01617246120469993,0.03367668119732935,-0.22078339777432013,
0,train,garch__priority_stack_controller,0.001815382874079452,0.1685203671047919,0.015354358770921275,0.03272989872453458,-0.23238613564375235,
0,train,garch__regime_switch_controller,0.003351446871256325,0.17344538689527433,0.014909005685551476,0.054481532247797636,-0.2492865161517191,
0,train,garch__trend_filter,0.007668159876134575,0.15478694853292818,0.013806628444568914,0.027738971668867907,-0.191766468395755,
0,train,garch__variance_scaling,0.00456349996984759,0.17580632799285123,0.016349055254613824,0.0666878246880033,-0.14924229604158085,
0,train,garch__vol_target_clip,0.008346319332005803,0.18241202745203144,0.01617246120469993,0.03367668119732935,-0.22078339777432013,
0,train,gjrgarch__drawdown_brake,0.00012891870447694076,0.15592380639299286,0.015123699282567045,0.042427270936436924,-0.21485500946368594,
0,train,gjrgarch__drawdown_modulated_controller,0.004507732715170493,0.15583922962132501,0.015660340099371138,0.042504410419566596,-0.16717939855967465,
0,train,gjrgarch__hysteresis_controller,0.006691137372652353,0.16029153585598133,0.015811898120984155,0.04218872050191145,-0.14250679140923167,
0,train,gjrgarch__naive_scaling,0.006691137372652353,0.16029153585598133,0.015811898120984155,0.04218872050191145,-0.14250679140923167,
0,train,gjrgarch__priority_stack_controller,0.0012877872320680855,0.15516718141178987,0.015090544554633246,0.040036650944293664,-0.18442959590984737,
0,train,gjrgarch__regime_switch_controller,0.0009464477431711943,0.14055450369187694,0.015027321445664701,0.05874321773267248,-0.0828348975491256,
0,train,gjrgarch__trend_filter,0.00897027371955432,0.13792165877828555,0.01346900359041936,0.03382910348943775,-0.12318957807358168,
0,train,gjrgarch__variance_scaling,0.013885195371720047,0.15916583881553148,0.01758062801770263,0.08377616767986826,-0.06074145448199178,
0,train,gjrgarch__vol_target_clip,0.006691137372652353,0.16029153585598133,0.015811898120984155,0.04218872050191145,-0.14250679140923167,
0,train,harrv__drawdown_brake,0.004113321674056494,0.17570594532461092,0.016380456522630895,0.016622834621080163,-0.29805655477097287,
0,train,harrv__drawdown_modulated_controller,0.009485096033241117,0.17757378059606732,0.016920608298685327,0.016661738596581103,-0.2791485211102163,
0,train,harrv__hysteresis_controller,0.013477256658109046,0.18140667516560693,0.017188386277675705,0.016613962546541163,-0.22929130860957841,
0,train,harrv__naive_scaling,0.013477256658109046,0.18140667516560693,0.017188386277675705,0.016613962546541163,-0.22929130860957841,
0,train,harrv__priority_stack_controller,0.007400729365511505,0.1721775968985707,0.01658132682243192,0.017916558661033265,-0.26143141030795125,
0,train,harrv__regime_switch_controller,0.0008296299857945555,0.17025585323415882,0.016063622317461425,0.027615795528800124,-0.2666034107695048,
0,train,harrv__trend_filter,0.0020917281568217094,0.16202733436503391,0.01506091590113415,0.015585843425120944,-0.26920455469757565,
0,train,harrv__variance_scaling,0.011550679776166667,0.16466028074841366,0.016845507817681134,0.027918190729995882,-0.13767509350565868,
0,train,harrv__vol_target_clip,0.013477256658109046,0.18140667516560693,0.017188386277675705,0.016613962546541163,-0.22929130860957841,
0,train,harrvrates__drawdown_brake,0.07236281389195537,0.33261392876737883,0.025801456259238666,0.07790695950083673,-0.4443677452817827,
0,train,harrvrates__drawdown_modulated_controller,0.07028875913132224,0.3353666033128496,0.026439656308723587,0.07622051419012342,-0.50186532889888,
0,train,harrvrates__hysteresis_controller,0.10833504494240395,0.37443749002851345,0.031054008411087457,0.08955898471377108,-0.4488488950532369,
0,train,harrvrates__naive_scaling,0.10833504494240395,0.37443749002851345,0.031054008411087457,0.08955898471377108,-0.4488488950532369,
0,train,harrvrates__priority_stack_controller,0.08928270561318519,0.34532339782268595,0.02805331346495154,0.07716116654513998,-0.42575090755583056,
0,train,harrvrates__regime_switch_controller,0.08598995464037582,0.36479628157396493,0.029149085030978204,0.1279287215145585,-0.5870055874150071,
0,train,harrvrates__trend_filter,0.08358213764540437,0.3449229946650483,0.02754767470115747,0.08916709708742644,-0.4754391683468728,
0,train,harrvrates__variance_scaling,0.10053331412514568,0.38464885823318196,0.030787066766893002,0.1302299867136271,-0.5951713112348811,
0,train,harrvrates__vol_target_clip,0.10833504494240395,0.37443749002851345,0.031054008411087457,0.08955898471377108,-0.4488488950532369,
0,train,light_gbxvolatility__drawdown_brake,0.011258917588841011,0.1862920690076263,0.0170284609153545,0.01816274733637171,-0.2942831230703667,
0,train,light_gbxvolatility__drawdown_modulated_controller,0.017431603987508856,0.18968292688214583,0.017524460116973138,0.01769381498218347,-0.25497320102178017,
