strategy_name,ann_vol,ann_return,sharpe,max_dd,cvar,sortino,calmar,switch_count,independent_pair_use,source_csv
high vol,0.2743310773284988,0.3081236681984803,1.1231817816598166,0.3939124498927533,0.03246566982518741,1.5315768451343739,0.7822135814249337,61,23,research result/high vol/router_vs_bh_timeseries.csv
low vol,0.005264062656463306,0.044105500960533076,8.378604860711446,0.012541795640947262,0.0006329559928610461,4.763361129777953,3.5166815201911437,62,23,research result/low vol/router_vs_bh_timeseries.csv
