split,date,router_return,bh_return,router_equity,bh_equity,selected_pair,selected_weight,selected_turnover
0,2023-02-10,0.0009562871466461964,0.001341627430301285,1.0009567445349863,1.0013425278149974,xgb_vix__trend_filter,0.6653771986858218,0.6653771986858218
0,2023-02-12,-0.0016450018538817657,-0.0025678678239180294,0.9993115224023018,0.9987745111319197,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-13,0.009567858672754262,0.014283618860185171,1.008918680494508,1.0131429982837177,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-14,-0.0014232807651878199,-0.0022348411924565676,1.0074837273557575,1.0108813127726117,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-15,0.003263309190521761,0.004808866837410718,1.0107768285438212,1.0157542135691195,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-16,-0.011533930911035125,-0.0174310054306487,0.9991855733054154,0.9982020169924103,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-17,-0.00026144363147361817,-0.0004895062301566239,0.9989243767461906,0.9977135104593878,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-19,-0.0010368155871083257,-0.0016548181121479742,0.9978892131116657,0.9960638413991225,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-20,-0.0002621426577709611,-0.0004905568016200339,0.9976276580650449,0.9955753353366585,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-21,-0.011011083201561791,-0.016645613042757745,0.9867029537115117,0.979140536672098,xgb_vix__trend_filter,0.6653771986858218,0.0
0,2023-02-22,4.443950340897932e-05,-6.234413969130934e-05,0.9867468032751061,0.9790794949005204,gjrgarch__regime_switch_controller,0.5802351384020844,0.08514206028373739
0,2023-02-23,0.0004059995524142943,0.0005607826326738028,0.9871475033721079,0.9796286996551191,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-02-24,-0.00543023821826184,-0.009498192543079764,0.9818015852132518,0.9703680469972981,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-02-26,0.0008099772412065757,0.0012564395818436057,0.9825971443015381,0.9715880220724966,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-02-27,0.0018620919539452565,0.0030688342813696354,0.984428535117785,0.9745742444692095,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-02-28,-0.004054403482965915,-0.007127599033803744,0.9804453448229425,0.9676525668007745,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-01,-0.0004312211427557199,-0.0008838384988843509,0.9800226472055634,0.966797696048183,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-02,0.0028524529812589024,0.004775087280956105,0.9828221064921331,0.9714252791935829,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-03,0.010606056347819168,0.018137951494786718,0.9933014471386317,0.9892057065977379,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-05,-0.001029988807773136,-0.0019160652054719587,0.9922788844697872,0.9873121386414315,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-06,0.0015131151046876205,0.002466245796543534,0.9937814531309297,0.9897500981211781,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-07,-0.00914786992562169,-0.01591047127753558,0.9847319247255109,0.9741273200590432,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-08,0.0005563678841457386,0.0008136188155320801,0.9852799503807217,0.9749202108870757,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-09,-0.012153345197590818,-0.021090512286880733,0.9733779739384988,0.9545739548607511,gjrgarch__regime_switch_controller,0.5802351384020844,0.0
0,2023-03-10,-0.004852876272623014,-0.008507449658964335,0.9686657342704438,0.9464874116965073,gjrgarch__regime_switch_controller,0.5155185806416926,0.06471655776039176
0,2023-03-12,0.0038240054247147695,0.007293730813713052,0.9723770087373748,0.9534160732760415,gjrgarch__regime_switch_controller,0.5155185806416926,0.0
0,2023-03-13,-0.001892970126846946,-0.0038535740756206168,0.9705380691857485,0.9497490838583711,gjrgarch__regime_switch_controller,0.5155185806416926,0.0
0,2023-03-14,0.007887703989428799,0.015118548882110382,0.9782236571603317,0.9642170032040774,gjrgarch__regime_switch_controller,0.5155185806416926,0.0
0,2023-03-15,-0.0038186493439213037,-0.007584521271690109,0.9744952872330119,0.9569315421246394,gjrgarch__regime_switch_controller,0.5155185806416926,0.0
0,2023-03-16,0.009352046810452859,0.017964292810467075,0.9836515609917083,0.9742774777992298,gjrgarch__regime_switch_controller,0.5155185806416926,0.0
0,2023-03-17,-0.0056249125098578965,-0.01177913295933333,0.9781341390761519,0.9628686587593767,dynamic_precision_ensemble__trend_filter,0.48536775212896693,0.030150828512725714
0,2023-03-19,0.0029341181689550816,0.005854981876830653,0.9810083147488284,0.9685227735236233,dynamic_precision_ensemble__trend_filter,0.48536775212896693,0.0
0,2023-03-20,0.001773060326209443,0.003450662478348616,0.9827492446021316,0.9718705914906773,dynamic_precision_ensemble__trend_filter,0.48536775212896693,0.0
0,2023-03-21,0.0064687874933010946,0.013126500412321641,0.989127046707889,0.9847119478601319,dynamic_precision_ensemble__trend_filter,0.48536775212896693,0.0
0,2023-03-22,-0.007533589995204015,-0.015722926867223916,0.9817033676727401,0.9693504740417626,dynamic_precision_ensemble__trend_filter,0.48536775212896693,0.0
0,2023-03-23,0.0012233668006302809,0.002321497882647784,0.9829050859020337,0.9716034332229461,dynamic_precision_ensemble__trend_filter,0.48536775212896693,0.0
0,2023-03-24,0.003243443334104895,0.0064830276584390166,0.9860982584888036,0.977922827423782,dynamic_precision_ensemble__trend_filter,0.48536775212896693,0.0
