date,router_signal_as_of_date,active_pair,portfolio_regime,regime_confidence,regime_reason,decision_action,decision_pair,decision_reason,decision_error,selection_ai_success,switch_executed,switch_penalty_applied,switch_cost_tracked,switch_penalty_return_applied,switch_review_action,switch_review_reason,switch_review_error,switch_review_ai_success,regime_changed,previous_portfolio_regime,cooldown_active,hold_gate_active,active_hold_days,cooldown_ranks,cooldown_poor_flags,cooldown_all_poor,initial_hold_active,active_regime_rank,active_overall_recent_rank,raw_returns_with_rf,router_vol_overlay_leverage,returns_with_rf,equity_curve_with_rf,active_obs,active_trailing_return,active_recent_return_20d,active_recent_return_40d,active_recent_momentum_improving,active_annualized_return,active_rolling_sharpe,active_drawdown,active_cvar_5,active_realized_vol,active_vol_tracking_error,active_turnover,active_drawdown_consistency_score,active_drawdown_consistency_mean_abs,active_drawdown_consistency_std_abs,active_drawdown_consistency_target_gap,active_max_abs_drawdown,active_max_drawdown_target_gap,active_max_drawdown_excess_over_target,active_risk_on_score,active_balanced_score,active_defensive_score,bh_equity
2024-02-26,2024-02-23,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review held active pair,,False,False,0.0,0.0,False,hold,,,True,False,risk_on,False,False,11,"{""10"": 10, ""20"": 1, ""60"": 1}","{""10"": false, ""20"": false, ""60"": false}",False,False,14.0,1,-0.002162233995123,1.0,-0.002162233995123,997.229086269322,63,0.040677801360944,0.004153279442591,0.0027577874563092,True,0.1627112054437763,1.9687392273590352,-0.0215690423740291,-0.0079550874144666,0.0826474137268272,-0.0173525862731727,0.0028395092782621,-0.0481583117088888,0.0172490803953629,0.0054073921042518,0.042750919604637,0.0234877554433311,0.0365122445566688,0.0,-1.7568621138599374,-1.7568621138599374,-1.7493129490290271,1000.353392360127
2024-02-27,2024-02-26,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 1/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 1/10,,False,False,,False,False,12,{},{},,False,14.0,1,0.0013330875897783,1.0,0.0013330875897783,998.5593664814088,63,0.0386386690540663,0.0020251643289104,-0.0007457286669224,True,0.1545546762162654,1.866040304059888,-0.021569042374029,-0.0079550874144666,0.0828249399972795,-0.0171750600027204,0.0028395092782621,-0.0481583117088889,0.0172490803953629,0.0054073921042519,0.042750919604637,0.0234877554433312,0.0365122445566687,0.0,-1.6654008646528824,-1.6654008646528824,-1.657851699821972,1002.349264256648
2024-02-28,2024-02-27,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 2/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 2/10,,False,False,,False,False,13,{},{},,False,14.0,1,0.0023741545683138,1.0,0.0023741545683138,1000.9329172363588,63,0.0453809845079009,-0.0014822488363585,0.0049542467627007,False,0.1815239380316037,2.2157308447523674,-0.0215690423740291,-0.0079550874144666,0.0819250851074788,-0.0180749148925211,0.0028395092782621,-0.0521007005177665,0.0155988416225586,0.0076995421403251,0.0444011583774413,0.0234877554433313,0.0365122445566686,0.0,-1.9754043635853908,-1.9754043635853908,-1.9678551987544808,1004.0817687376592
2024-02-29,2024-02-28,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 3/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 3/10,,False,False,,False,False,14,{},{},,False,14.0,1,0.0050310744377496,1.0,0.0050310744377496,1005.9813741827636,63,0.0450865403658933,-0.0009619219205158,0.0122168262778645,False,0.1803461614635732,2.202062796344993,-0.0215690423740293,-0.0079550874144666,0.0818987368402543,-0.0181012631597456,0.0028395092782621,-0.0521007005177665,0.0155988416225586,0.0076995421403252,0.0444011583774413,0.0234877554433313,0.0365122445566686,0.0,-1.9630686627544456,-1.9630686627544456,-1.9555194979235353,1007.023035715077
2024-03-01,2024-02-29,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 4/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 4/10,,False,False,,False,False,15,{},{},,False,14.0,1,0.0120060622740744,1.0,0.0120060622740744,1018.132044102578,63,0.042766718519889,0.0080845475464139,0.0180434148509009,False,0.1710668740795562,2.105081305414006,-0.0215690423740292,-0.0079550874144666,0.0812637847476929,-0.018736215252307,0.0028395092782621,-0.0521007005177665,0.0155988416225586,0.0076995421403251,0.0444011583774413,0.0234877554433313,0.0365122445566686,0.0,-1.873908205886496,-1.873908205886496,-1.8663590410555857,1016.6497188699956
2024-03-04,2024-03-01,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 5/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 5/10,,False,False,,False,False,16,{},{},,False,14.0,1,0.0037821811887608,1.0,0.0037821811887608,1021.9900952926924,63,0.0479129781215393,0.0151235611974347,0.0295605652597893,True,0.1916519124861574,2.29588063702913,-0.0215690423740292,-0.0079550874144666,0.0834764270385393,-0.0165235729614606,0.0028395092782621,-0.0541726292311255,0.014459623539427,0.0086322527705526,0.0455403764605729,0.0234877554433312,0.0365122445566687,0.0,-2.0534432225775223,-2.0534432225775223,-2.0458940577466125,1017.7334401841896
2024-03-05,2024-03-04,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 6/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 6/10,,False,False,,False,False,17,{},{},,False,14.0,1,-0.0010504138667336,1.0,-0.0010504138667336,1020.9171463438144,63,0.055556129457212,0.0257479182407501,0.0391699592459132,True,0.2222245178288483,2.672395609401934,-0.0215690423740292,-0.0079550874144666,0.0831555466739375,-0.0168444533260624,0.0028395092782621,-0.0541726292311256,0.014459623539427,0.0086322527705526,0.0455403764605729,0.0234877554433313,0.0365122445566686,0.0,-2.3899429633136884,-2.3899429633136884,-2.3823937984827785,1016.1444187933068
2024-03-06,2024-03-05,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 7/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 7/10,,False,False,,False,False,18,{},{},,False,14.0,1,0.0054780659930912,1.0,0.0054780659930912,1026.5251443121535,63,0.0444658531558353,0.0303323523066987,0.0378409583035507,True,0.1778634126233412,2.1924726031356347,-0.0215690423740292,-0.0079550874144666,0.0811245770501142,-0.0188754229498857,0.0028395092782621,-0.0541726292311256,0.014459623539427,0.0086322527705527,0.0455403764605729,0.0234877554433313,0.0365122445566686,0.0,-1.9514815524002167,-1.9514815524002167,-1.9439323875693064,1021.6762570711752
2024-03-07,2024-03-06,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 8/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 8/10,,False,False,,False,False,19,{},{},,False,14.0,1,0.001609180544869,1.0,0.001609180544869,1028.178338390333,63,0.0575240548801251,0.030048834063166,0.0449221342578526,True,0.2300962195205005,2.8798710234335045,-0.0215690423740292,-0.0076844064155098,0.079898098785747,-0.0201019012142529,0.0028395092782621,-0.0541726292311254,0.0144596235394271,0.0086322527705525,0.0455403764605728,0.0234877554433313,0.0365122445566686,0.0,-2.559482435831591,-2.559482435831591,-2.551933271000681,1023.2785707320488
2024-03-08,2024-03-07,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 9/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 9/10,,False,False,,False,False,20,{},{},,False,14.0,1,0.0010415501857349,1.0,0.0010415501857349,1029.2497956210286,63,0.0570703910491585,0.0304703698116057,0.0445939628708323,True,0.2282815641966343,2.857923863626743,-0.0215690423740292,-0.0076844064155098,0.0798767129880577,-0.0201232870119422,0.0028395092782621,-0.0541726292311256,0.014459623539427,0.0086322527705527,0.0455403764605729,0.0234877554433313,0.0365122445566686,0.0,-2.539810126053277,-2.539810126053277,-2.5322609612223665,1023.1047978325493
